,content,Rating,neg,neu,pos,compound
10,2 hours 40 minutes is not an acceptable…2 hours 40 minutes is not an acceptable response time for roadside assist.  AAA needs to get their communication system fixed and tell the truth when they drop the ball ans not blame the local towing company.  Shame on you AAA!,1,0.139,0.781,0.081,-0.4798
11,"Do not get homeowners insurance with…Do not get homeowners insurance with this company. I recently had major storm damage and have water leaking into my bedroom, leaking through the ceiling fan, and has not be useable for months. I had called when it first happened and asked if I needed to have the 4k for the ded right now, and they said yes, so put it off for a few months saving. Ceiling is ruined, sent an adjuster out that wouldn't schedule a time that worked for me, only a time when he would be in the area. The storm was wind damage and my shingles are missing in some areas, and half the house had shingles lifted up, they put in that is was some wind damages and then the hail damage was from years prior causing the issue. They also had the wrong date that this occurred, and called in prior to let them know, but still had the wrong date. Said no storms in the area when they googled it. Very rude. They came back saying that the damages came to 3,999, and my ded is 4k, so would not be covered. I would pay double to have a decent company insure me, it's not worth the savings when they won't even help. I have never filed any claims before on any h/o policy, and have had this coverage for a few years. Will be canceling. They are a joke.",1,0.139,0.832,0.029,-0.9782
12,"I am trying to figure out what they…I am trying to figure out what they cover on home insurance, sounds like practically nothing, I am about done and I have been with AAA for 43 years, I think I can do better than this, and life insurance for 75000 dollars would cost just me not my husband, almost 300,00 a month I think I will have to get better insurance company.I have been with AAA for 43 years, home and auto, but look to life insurance, it's insane,75000 dollars, Almost 300.00 a month and that doesn't include my husband,I am ready to find someone reliable",1,0.0,0.912,0.088,0.7845
13,I wish I could rate this a 0 AAA is the…I wish I could rate this a 0 AAA is the biggest waste of space that I kno of if you want to be stranded with no where to go and no one to help call AAA they don’t even have the decency to even tell you they’re gonna leave you the minimum time you’ll wait for AAA is about 6 hours real time……all that to say F*** AAA,1,0.105,0.777,0.118,0.25
14,"Don't use this businessDon't use this business! Our vehicle became unusable once dropped off for an oil change at a AAA Car Care Center in Wilmington, NC (Military Cut0ff Rd). I drove it in without any issues and when picked up, it was not drivable and we were told it needed a new engine! We had it towed and another mechanic replaced the timing guide/chain system, finding a multitude of shavings of metal/plastic in the oil pan. They asked if we drove it a while once it broke down. We told them we did not, that it was in another mechanics hands when the issue became known. They suggested we question ""What the he** happened"" on their watch? Investigations took us in circles as this center is allowed to investigate themselves!!!! Even the NC Consumer Protection Specialist sent our complaint to the Military Cutoff Center for an investigation. No corporate oversight...BEWARE!!!  We never had issues with towing, breakdown in our own drive, lockouts, just this car care service center.",1,0.048,0.915,0.037,0.3331
15,"Left in a dangerous situation for over 5 hours.Called AAA after I got a blow out on I95 interstate.  Called at 1:55 in the afternoon, didn’t get towed until 7:00 pm!   Because I was in a dangerous spot they said they were giving me priority service  I’d hate to think what non-priority service would look like.  Spent several frustrating hours calling and being placed on hold for long periods.  According to the text they sent me, the driver was 6 to 8 minutes away - for well over an hour.   Later learn they sent driver to Southbound lane despite clear instructions and gps location from me indicating I was on the Northbound side.  When truck finally arrives he is not equipped to tow despite me telling them I had no spare.   Beyond incompetence - they left me in danger for over 5 hours.   Am cancelling my membership and would never put my trust in them again.",1,0.173,0.785,0.042,-0.9669
16,Worst company everI am 70 years old and called 2 1/2 hrs ago to get my car jumped in Utah where the weather is below 20 degrees. I followed Adam the driver on the App said where he was at and showed where he was at. He literally was in my neighborhood seconds away when he turned and told another call and drove off! I was standing outside waiting for him because it said minutes away. I can’t believe it! Then I called customer service and the girl said he would be there in an hour and half! That would be at 7:30 pm k started this at 2:30 pm. I can’t be outside assisting a guy in the dark in the cold and fill safe doing this at my age. I asked the girl why did he take the other call when he was right there. She just ignored me and said you can cancel your membership do you want me to transfer you. Horrible company!!! Seriously don’t sign up if you have other choices. They are never there for you when you need them!,1,0.078,0.9,0.022,-0.8902
17,"Our utility trailer broke an axle…Our utility trailer broke an axle spring and needed a flatbed tow.  We sent this info along with location of vehicle to AAA to request a tow.  We were provided an ETA of about 40 minutes. A Tow-Hook type truck drove past us, then did a u-turn and from the other side of the road yelled that he'd contact dispatch for a flatbed.  Never heard another word from AAA.  We left the trailer to try to arrange a different pick-up. While we were away, someone stole the trailer.",1,0.062,0.938,0.0,-0.6808
18,"I had a great experience with AAA the…I had a great experience with AAA the roadside assistance they were 1 hr. early to service my vehicle, I was in a panic after i locked my keys in car with only 2 hrs  before work started. they saved the day . thank god.",5,0.059,0.662,0.279,0.9062
19,"Satisfied with AAA ServiceMy car wouldn't start, therefore, I called AAA for service. After I called AAA, I didn't have to wait very long at all.  Jim Woodside (Service Technician), arrived in about 20 minutes. He was very polite and professional. Jim was very knowledgeable in answering all my questions. My battery had to be replaced with a new one.Thank you Jim, I appreciate the service you have done for me.Sherry H.",5,0.0,0.922,0.078,0.6705
20,"More than 20 year customerMore than 20 year customer,  this is maybe the 4th time I needed to use them.  Currently in the Georgia region.Have waited more than 24 hours for a tow, feed back sucks  on why they can't get a tow truck .  They keep moving time back,  the status update text stops working when the eta time is missed.    I've spent hours  calling for an update, just to get another run around. AAA  sure has gone downhill.  If this is ever resolved, I may no longer be a customer.  Now 27 hours and I still don't know when a tow truck will show upAfter talking with a supervisor, I had tow show up 30 min later.   Don't  blame the customer support people.   It's the system  AAA (Auto club of the South) has set a system that's a problem.   Seems they no longer have a provider for my area,  all have to come a longer distance. Customer support doesn't have direct  visibility.   I called one provider directly to see if he was coming, and found out he wasn't even working that day.",3,0.073,0.864,0.063,-0.2415
21,"My complaint is about them spamming me…My complaint is about them spamming me constantly. I joined AAA a few months ago and receive at least 100 emails a month from them! Give it a rest! I keep unsubscibing to them, but they keep sending them daily under different headings. Just stop it, guys.",2,0.199,0.801,0.0,-0.8264
22,"Lifelong member-Had blow outLifelong member-Had blow out, took 1 hr to get thru. no updates for 9.5 hrs last update said another 2-3 hrs.If not for a Good Samaritan i would probably still be out there. Never Again will i use them. Even tried to call corporate offices, couldn't get to anyone.",1,0.091,0.909,0.0,-0.5583
23,IDK why I stay with these guysIDK why I stay with these guys. Not one time lately have I been satisfied. Over the summer I waited 5 hours at night and then they called and said it would be morning. Today I just need a jump start in a different city and it’s been 3 hours. When I call they said you just have to wait. I can say that AAA roadside assistance is a joke. Someone please give me another referral. Mark,1,0.028,0.877,0.096,0.633
24,Great experience!Christopher arrived and few minutes after the initial time provided by the online service. This guys was very knowledgeable and took every precaution with my car.  I would rate him A+. He even informed me that his equipment indicated a bad alternator but could be something else. That diagnosis was correct!,5,0.042,0.899,0.059,0.2225
25,Worth the cost!!I have always felt that AAA is worth the money! We’ve had several times that we’ve had to use them and they have always come through for us in finding a service to help us. The person answering has always been polite and helpful. We had to use them today as we locked our only set of keys( a spare is 125 dollars and was lost at another time) in the car. They got a service technician (Tristan from Grants service center in Salisbury MD) in touch with us and he was here in no time and had our car unlocked.,5,0.041,0.849,0.11,0.7633
26,Was told 1.5 to 2 hoursWas told 1.5 to 2 hours. Left sitting in a cold car for 3 hours. Freezing temperature. This membership was a gift. Will never pay for a membership!!!,1,0.046,0.788,0.166,0.5679
27,"Octavia a supervisor that exemplifies…Octavia a supervisor that exemplifies customer service nightmare. AAA falsely advertised a promotion that I never received. I called in three times and got a different promise to fulfill each time. After requesting an escalation, this manager took the phone and advised me there is no promotion. I have screenshots of the offer. This manager stated she was placing me on hold, then hung up. No wonder the reviews are bad. The customer service is worse. They just say anything to get to the next call. Hanging up on a customer is about as bad as it gets.",1,0.136,0.815,0.049,-0.8519
28,"4.5 hrs for a tow truck to show up!!!!!4.5 hrs for a tow truck to show up!!!!!God forbid YOU’RE late on a payment but when you need THEM, they can do whatever the ef they want!",1,0.08,0.879,0.041,-0.3331
29,"Called AAA for a towCalled AAA for a tow. 1 hour later the dispatch came and left after 10min without saying anything. The boss of the towing company called and said something like it’s because my car has missing part (a bumper) so it can’t be towed. We then called back AAA to see why the fxxk they refused to tow it. AAA said dispatch took some pictures and determined that it “seems like” my car is total lost, has missing part (which is just no bumper btw), unregistered (which the front license plate just is in the car btw), not running, project car due to the car is lower (without any real evidence btw) so they refuse to provide the service because they said these are not covered in their policy. Based on what to make these assumptions exactly? They just created some ridiculous reasons to refuse providing services. I told them first of all it’s registered under my name, street legal, I can put the bumper on if needed but I got it towed many times without the bumper on. If the car is running fine, I don’t need a god damn fxxking tow to a shop to fix. The AAA rep. seriously said the car has to be running good in order for them to tow it. lol I’m speechless. Wth wrong with these people man. They want us to keep the membership going without providing services we need. Not to mention they haven’t paid me in full for a reimbursement. I hope one day they go bankruptcy. They deserve it. Planning to sue them for real also if I can’t get the money back.",1,0.099,0.821,0.081,-0.5152
30,"What happened to top tier customer…What happened to top tier customer service with this company? I have been a long time member but lately I am very disappointed with how this company disregards its customers. Never ever request AAA Assistance on a Sunday 2 separate times we requested service and waited more the 8 hours! Not 1-4 hours.. no,  I am talking 8 hours and spoke to a half a dozen customer service representatives all saying something different! The first person came on the phone and said that the extra charge will be an additional $100.00 to tow it an hour to get to my house because we reached our limit of tows for year. (We didn’t) So we paid it. Then another person calls saying there is no one available to get us so we will have to wait. Then another person calls saying it will be an additional $700.00 charge because it’s over an hour to tow to my house and that’s too far. (We didn’t pay it). Not to mention being broke down on a major highway for 8 hours (very dangerous) with no idea of how long a tow truck would arrive! Then when I did get a notification it was 6 hours later and apparently the tow truck driver was the only person working that day and was all the way on the other side of the state! ( That driver was very nice and I made sure to tip him and give him water for his trip back home being that he traveled so far to get us). The second time no one bothered to communicate with us at all after waiting 4 hours from first calling in requesting service. So we had to leave the car overnight in the parking lot and called again the next morning. Then the tow truck driver showed up within the hour with a negative attitude giving his big opinion about what he thought was wrong with the vehicle. Needless to say we didn’t need the additional stress. As it turned out it was nothing like what his big opinion stated but it was something very simple and was fixed in a couple of hours. If you ask me we should get credit for those 2 horrible experiences instead of having to pay for horrible treatment! AAA use to be a great company but never break down on a Sunday because you are on your own! November 12, 2023 and January 7, 2023 Not sure I will renew my membership after these 2 experiences.",1,0.099,0.822,0.079,-0.921
31,"I've had 2 no show tow callsI've had 2 no show tow calls. This is beyond inconvenient, it is potentially dangerous considering I buy this inurance to protect my family. Wait time on the phone is extremely long. Very poor customer service. DO NOT RECOMMEND",1,0.301,0.65,0.048,-0.912
32,"AAA is not living up to their promises or past reputationUsed the AAA app to get battery service in Boca Raton, FL.  The car had a AAA battery that had been installed by AAA previously and was still within the warranty period.  The AAA vendor, Interstate Towing replaced the battery but charged us even though it should have been a warranty replacement.  We contacted AAA customer service and were instructed to submit a reimbursement form.  The form was for people who used an outside vendor.  We used AAA and they arrived in a AAA van.  We submitted the form with an explanation of what really happened and have waited over a month with no response.  When I called AAA and was shuffled through four representatives on Dec 27th, I was told the person assigned to our case was on vacation and I should wait until after the new year to see if they call me.  The vendor AAA used for our service was not honest and now AAA is not helping to get it resolved in a timely manner.",1,0.061,0.918,0.022,-0.7926
33,The worth service ever!!!!!Theworth service ever. 6 months ago they left 3 hours in Florida turnpike and after that they told me they not service at turnpike. Today they gave me a price for extra miles and then they charge me 35% more. Terrific service. Never again!!!!!,1,0.0,0.867,0.133,0.7551
34,"Useless...and a waste of money.My wife had an issue with our Honda CR V losing power,and had to pull over on the shoulder of route 9 south during rush hour( 4 pm). Maria called triple A ,and they told her they would be have someone there at 7 pm. Less than an hour from darkness,on the side of one of the most dangerous highways in new jersey,38 degrees outside. I called the Freehold Township Police to wait with her,so she would be safe,and called USAA our auto insurer,the dispatched a towtruck 10 minutes after I called. The tow wasnt needed however,since Officer Felix,suggested Maria drive slowly on the shoulder while he followed her to Seattle Court. To summarize,Triple A left my wife in harms way, USAA provided excellent service that wasnt needed because once again the Freehold Township Police department went above and beyond the call of duty. Thank you Officer Felix,thank you USAA,Triple A,you absolutely suck.",1,0.093,0.848,0.059,-0.764
35,Waited 12 hours on side of road called…Waited 12 hours on side of road called several times ultimately they never came. Called 4 times they always said someone would be there soon. Switching to a different provider after 3 years of AAA,1,0.0,1.0,0.0,0.0
36,"Poor Customer Service from the Agent to the SupervisorSon needed a tow..I called AAA...advised it was my son with the car...he is not on membership...Representative confirmed Tow truck would advise time of arrival...surprisingly he arrived in 30 minutes or so but refused to tow the vehicle since I was not there...so much for calling to confirm with AAA that it was my son with the car and not myself...resolution could have been ""you can add your son now or you need to get to the vehicle location""...wow imagine that resolution...AAA supervisor  listening skills this morning were non existent as well...",1,0.052,0.948,0.0,-0.6448
37,"Tow Problem with AAA & Customer Satisfaction.Recent tow from a poor Service Center to another shop for Repairs on my Truck, Driver required CASH ($132.00) No Receipt Issued per Driver. Called NJ AAA Office back to get a Receipt to get a Refund from Shop, nothing but a run around on Phone then attempted to get an e mail satisfaction for this problem, just a note from advisor stating moved to supervisor. Nothing heard in weeks, disappointed from word go concerning my experience, once membership expires I'm done with AAA. Sad to say, it's become big business, not about Customers.Happy Holidays & Be Careful of AAA Customer Service.",1,0.172,0.779,0.049,-0.9243
38,"I ran out of gas near RaceWay RdI ran out of gas near RaceWay Rd, thinking I could make it to the gas station and of course I couldn't. My husband and I contacted AAA and was about to get someone to help us within 25 mins or less. His name is ROB, super cool guy, came with a GREAT attitude and was able to get me back on the road within minutes. Thank you again Rob, I appreciate your service and great customer service. Keep up the good work!",5,0.073,0.684,0.242,0.9538
39,"AAA= Absent, Aggravating AbandonersCalled for Tow 5:10 pm. 3 hours later still no contact or tow driver.  Made 3 calls to aaa dispatch who assured me a driver would call.  Never did.  At 1:44 am aaa dispatch called (not tow driver) to see if I still needed help. Never did get help with aaa.   They kept me on hold and did not connect me to tow service. This company is worthless.  Hope their management has a similar personal experience.  Aaa = Absent, Aggravating and Abandoners.  Dispatch lied regarding ability to secure tow service.  Also claimed driver tried to call me three times. LOL, my phone records incoming calls.  Never happened.",1,0.12,0.728,0.152,0.6166
40,"I called for roadside assistance at…I called for roadside assistance at 1:45pm. Was notified that someone would be coming at 2:45pm. Here it almost 4pm,and no one showed up or called to notify me. I have been on hold and transferred multiple times. This company manages to take my payment every month on time. When I finally need something done…I have to wait for over 2 hours and I still don’t get nothing",2,0.028,0.972,0.0,-0.2315
41,"Customer Service in the GutterI've been with AAA for over a decade, with multiple policies. I've found in the past year that every representative tells me something contrary about the exact same topic; they make empty promises, screw up billing and generally couldn't care less that they've screwed up & then they don't fix what they screwed up! Even the supervisors come across as hateful. They have REALLY taken a turn for the worst during the past year or so! I'm shopping elsewhere for coverage now. What a royal pain.",1,0.223,0.751,0.025,-0.96
42,Terrible customer service and communicationTerrible customer service. Ive been trying to get my car towed to the mechanic and have been waiting for 2 days for something that should have taken a couple of hours at most. The lack of communication from dispatchers to the actual tow truck drivers is baffling. Yesterday they were supposed to come 2 different times but failed to show both times. No organization at all when it comes to getting services to people.,2,0.135,0.865,0.0,-0.8776
43,"Very disappointed with AAAVery disappointed with AAA. On the dealer’s multi point inspection battery failed the test. AAA did not honour their 3 year warranty. I suspect that their device is altered to show result not favourable to the consumer.I suspect fraud. AAA Fleet guy was rude, disrespectful, shouted at me, when I showed written report from my dealer, saying battery has to be replaced. Don’t buy battery from AAA.It’s FRAUD!!!",1,0.335,0.665,0.0,-0.9829
44,called for roadside assistancecalled for roadside assistance. company they referred said they would be there in 30 min. then updated to 2 hrs. aaa no longer gets quality tow companies because they pay so poorly. this is the second time in a few months I needed them and they failed to offer a tow in a reasonable amount of time. I ended up using my insurance company roadside program and they were there in 30 minutes. aaa has really gone downhill.,1,0.087,0.913,0.0,-0.7096
45,Locked my keys in my car and AAA was…Locked my keys in my car and AAA was there in less than 10mins Troy was quick and professional.,5,0.0,1.0,0.0,0.0
46,"KIM FROM KING TOWING WAS NOT…KIM FROM KING TOWING WAS NOT PROFESSIONAL,  SHE WAS AN EXPERT AT HER PROFESSION. SHE EXECUTED HER TASKS WITH PRESION, EVEN THE STAFF AT DIRECT TIRES 435 VALLEY RD WEST ORANGE NJ COMMENTED ON HER PERFORMANCE,  PLEASE SEND HER ON ANY OF MY CALLS, KIND CARING FAST EFFECTIVE,  AND EXPERT AT TOWING I GIVE HER 10 THUNBS UP IF I HAD THEM",5,0.0,0.803,0.197,0.9426
47,"I made a claim for my car back in JulyI made a claim for my car back in July, 2023, and was told the vehicle would be removed, and I would be credited for the money I paid for the policy after the accident. I was promised that the refund would be returned to me within 4 weeks. However, until now, no refunds have been processed, and each time I call, I receive a different story. I have followed your guidelines from day one. Today, one of the unprofessional supervisors named Blanca from AAA auto insurance was unhelpful, unwilling to support me, and provided false information. I would like someone professional to handle my case and refund me the extra money I paid. I have been treated poorly, and it seems no one is able to understand my situation.",1,0.078,0.848,0.074,-0.1531
48,"Terrible!Terrible!! VERY VERY rude, unprofessional, uneducated, and degenerate “customer” service reps. Very low class, RUDE, employees. We all know why their rude- it’s obvious.",1,0.542,0.458,0.0,-0.9763
49,"Poor AAA service, and ZERO ACCOUNTABILITYTip #1 for interacting w/ #AAA, film all interaction w/ AAA service techs - it will save you hundreds of dollars - I didn't, AAA damaged my car, cost me close to $700. Consider before renewing or gifting a AAA membership as Christmas presentPoor AAA service, and ZERO ACCOUNTABILITY: I needed a simple battery jump November 1. Instead the tech incapacitated my car by attaching the jumper leads in reverse, killing the battery and blowing fuses and left me stranded, to be towed to a mechanic after more waiting by the side of the road.AAA's actions left me without the use of my car for 5 days, and a nearly $700 repair bill. After one month, AAA offered to pay me $45 for the blown fuses. Really?If trust is what AAA selling, it's not working. Your motto is ""EXPECT SOMETHING MORE WITH AAA"" I don't think these actions reflect those values, just the opposite. Membership is a total waste of money and misplaced trust.",1,0.082,0.834,0.084,0.0788
50,Waited 2 hours and tow truck never even…Waited 2 hours and tow truck never even showed up called aaa and they said I didn’t answer but dude never showed up didn’t even bother calling my number they had on file instead called a different number my car is still there,1,0.063,0.878,0.059,-0.296
51,"I am a recent AAA insured memberI am a recent AAA insured member, and I had an issue with my policy and I have to say that one of the agents her name is Cheryl was fabulous. She was very patient and did everything in her power to try to resolve my issue. And resolving my issue is what Cheryl did lovingly and patiently thank you Cheryl!😊🙏Anita R.",5,0.0,0.788,0.212,0.9392
52,"Unmarked insurance application junk mail...Stop mailing unmarked envelopes with life insurance applications...It is annoying, a complete waste of resources, and sneaky marketing. I'm not going to surprise sign a life insurance policy with you because you got me to open up your junk mail thinking it could be something important. Looking forward to seeing the application again in a few weeks to throw it in the garbage.",1,0.132,0.843,0.026,-0.7517
53,Waited 3 hrs for a tow truckCalled AAA for a tow truck after a 14-hour shift I had a blowout on the highway.. I was waiting at a gas station for my tow truck I must have counted 25 tow trucks pulling for gas I waited 3 hours for that tow truck and the tow truck driver told me that he's been sitting around for 3 hours waiting for a service call.. AAA sucks.. I will not be renewing my service with them that's for sure,1,0.0,0.969,0.031,0.3182
54,"Guilty until proven innocent with AAAI recently got a home policy with AAA. One month from purchasing I get a letter of cancelation because it was ""confirmed "" I was using wood to heat my home. My entire property is heated with gas. I had to hire an HVAC company to come and inspect my heating sources at a cost of $150/hr to prove I wasn't using wood. The inspector never looked at or asked about it. I was told since I was a new policy that they weren't going to cover the bill and that was on me to prove I wasn't doing anything wrong. Then had the biggest nads ever and asked me for referrals! You're going to cancel me because your inspector is lazy, make me pay $150, then ask Me to send more business your way???? You must be high.",1,0.071,0.894,0.035,-0.6121
55,Triple a installs bad battery and won't refund $ for it after dealerships proves it faultyTriple A replaced our battery which they said was dead. Car started with AAA battery but shortly afterwards I noted that our cruise control would not work. Went to Buick dealership and they said the battery was not putting out enough voltage for the cruise control to work so they replaced it not knowing it had just been replaced. Cruise control worked perfectly meaning the problem was AAA's battery. Now AAA now refuses to take responsibility and refund my money for the bad battery. At one point I thought AAA  was responsible and I could trust them for help but I'm thinking those days are over.,1,0.096,0.781,0.122,0.6757
56,I think the service was awesome,5,0.0,0.494,0.506,0.6249
57,"Last night we called Trip AAA at 750pm...the worst company out there.…Last night we called Trip AAA at 750pm for our disabled vehicle.  We did not receive tow service for 4 hours .  The tow driver said they had two people working.  What type of service is this?   The worst.  I do not recommend Triple AAA.   Another time, recently I waited over 3 hours after midnight for a tow.   Terrible service.  Get towing through your insurance company.",1,0.167,0.833,0.0,-0.9247
58,"Triple A Tower JordanIf it weren't for the people who answer the phone I would give this service 10 stars.  My tower (Jordan) was professional, friendly & very very helpful.  It's that first call and dispatch ""service"" that you have to wait on in order to get to the true customer service.",5,0.0,0.831,0.169,0.8545
59,"AAA send a local service company…AAA send a local service company Sheehans service in methuen ma , to change my flat tire and put a donut , during the process they damaged my donut tire as the service person did not know that the tire bolts cannot be used on the donut ,  i filed a claim with AAA ,  THEY DECLINED ANY RESPONSABILITY , and closed the claim on top of endangering my life driving the car with unstable donut tire in place .the AAA rep cared less to even talking to the repair shop where the car was serviced . a bunch of crooks , never use them and no wonder why most of the rating is bad on AAA .",1,0.094,0.868,0.039,-0.7579
60,Worst experience ever!!!!My mother in law Diane Ferguson has had service with AAA for 7+ years and she got a flat tire at her son's job today and called to request her service she pays for $225 a year.  And 4 hrs later she is still waiting on technician to repair a flat tire. On top of this being stuck in car in parking lot 4 hrs later. Customer service on phone was the worst one can imagine. She hung up her multiple times when asking to speak to the supervisor which she still has not had contact with yet. Not worth the money they charge. To treat any of us so horrible for a service we pay for I am infuriated with the childish and disrespectful behavior of representatives answering the phone as well as the unprofessional time frame they had her waiting over 4 hrs to get a flat tire changed. Shame in AAA,1,0.183,0.779,0.038,-0.9774
61,"AAA left my 80 year old grandma…AAA left my 80 year old grandma stranded on the side of a VERY busy freeway, in a very dangerous spot. I had to go rescue her because she was stuck in her car and then when we asked AAA to tow it the tow truck driver refused to because it was to busy (which is fine) but then AAA continued to try to get my grandma to stay by her vehicle on the side of the freeway but obviously she would not because of how dangerous it is. After almost 20 hours her car is still on the side of the freeway because no one will go tow it. So ashamed honestly",1,0.127,0.772,0.101,-0.5569
62,"Unreasonable Wait TimeI had to call them to jump my car and it took 2 hrs for them to arrive. I was so shocked. I've been a AAA for decades and never had to wait that long. Geico has a similar service, I won't be renewing.",1,0.07,0.93,0.0,-0.4572
63,"Left strandedI have been with AAA for many years, yesterday they let me down, we were stranded beside a busy interstate,I called for a tow and was told they'd be there in 58 minutes,after 3 plus hours and multiple tries to contact them to get an update,I realized I was on my own , by then it was getting dark.Thankfully a very kind and helpful Hwy Patrol got me to a safe place.I had always recommended AAA roadside service to my family members and friends,but I won't be able to do that anymore.",1,0.0,0.876,0.124,0.8874
64,"This is worst then badThis is worst then bad. Don’t waste your money because they will make you wait all night when you need road side assistance. I have a flat tire around 2 am and i call them and now I am still sitting in my car on the road and it is 7 am. When I call, they keep say someone will be there 30 mins later and i had wait for 5 hours and still don’t have an answer when they are coming. This is the worst then worst company service I ever had. Don’t ever pay for the service because you won’t even get any.",1,0.208,0.792,0.0,-0.9753
65,"AAA left me strandedAAA left me stranded on the side of the road at 2am!  I ran out of gas on my way to a gas station at 11pm at night.  My first service call was marked ""completed"" by AAA without any service contact within 15 minutes.  I had to call in to AAA to request another service request.  After several additional calls and 3+ hours of waiting, AAA told me that they could not fulfill my service request.",1,0.035,0.965,0.0,-0.4015
66,"This was a HORRIBLE experienceThis was a HORRIBLE experience. I can’t even explain how mad I was by the treatment AAA provides. First off, I pay a monthly fee to use this service. I asked for a tow and got charged an additional $100. That alone is insane. Scam! And then you took 6 plus hours to actually have a tow company show up due to YOUR mistake. I got several calls from dispatch saying sorry it’s taking so long after entering a request before 6am on the app. At 9:18am they called saying our tow guy is 30 minutes out only for a lady from dispatch to call and say the tow guy cancelled it will be another wait. So then 11:15am rolls around for the same tow guy to call and say didn’t we talk to you earlier and I said yes why didn’t the guy come and they explained AAA took me off their list right before they got there but he will make sure he heads my way next. Now why in God’s Green Earth did you take me off the list and put me back on? Why did I pay $100 for you to take 6 plus hours to tow me? Why did I put in a request before 6am for you to tow my car at 12:30pm? Come on. Get it together. You trash company!",1,0.1,0.879,0.021,-0.8981
67,"Unethical companyUnethical company. AAA tech JH took my battery still under warranty, would not leave me my property that was legally mine with core charge, it was escalated and the management or supervisor Bob who handled the situation belligerently and never followed through on what he promised, hassled the dealership who was dealing with car, and never got back to me as AAA said he would on the BBB complaint I filed. From start to finish it was abysmal service. The tow truck driver was great. I've been a member over 20 years, will not review as the last two years service has suffered greatly.",1,0.076,0.843,0.08,-0.1411
