,content,Rating,neg,neu,pos,compound
17,Update17.2.1 is absolutely horrible…Update17.2.1 is absolutely horrible nothing is easily accessible now you have to perform phone surgery to locate things this was stupid and set iPhone back.  User since 2008,1,0.248,0.752,0.0,-0.8492
18,"F you for watching an apple TV which…F you for watching an apple TV which doesn't let you register, which account doesn't let you log in, I swear any apple product will not be bought from now on. I've added one more item to my life's volunteer list: as long as I'm alive I'll try to discourage people around me from buying any Apple products... Fk you, your brain is filled with cement.",1,0.054,0.912,0.035,-0.1027
19,"My recent experience with Apple Support…My recent experience with Apple Support has truly been remarkable. I had the pleasure of working with an outstanding customer service representative named Mani. Her dedication and commitment to solving my issue left me utterly speechless. I want to extend a heartfelt shout-out to Mani for her exceptional support and unwavering kindness. Apple's choice to have such dedicated individuals shows their commitment to customer care, and I am truly grateful for Mani's amazing assistance.",5,0.0,0.519,0.481,0.9939
20,Edinburgh Poor ManagementApple AirTags packed up after 6 months. Replaced although not sure they are new. No boxes just in a bag. Complained to the manager…. ‘Gordy’ would have been better shouting at the wall. Rude arrogant and condescending and that’s the good points.Premium prices and Ryanair customer service.,1,0.265,0.64,0.095,-0.8542
21,"Apple Solihull storeApple Solihull store Bridget McKee could not have been more helpful if she tried. Exceptional customer service supplied. Nothing was too much trouble. She has recomended I sign up for training on how to get the best from my new phone. I will definitely do this. Thanks Bridget, I’ll be recommending my friends and family ask for you in person when buying Apple products.",5,0.035,0.756,0.209,0.923
22,"Apple Watch price matchOn 12/31/23 I bought an Apple Watch series 9 for $399. 15 days later, Amazon and Best Buy were selling it at $329. I called customer service for a price match which they said they could do up to 10% but not $70. That was acceptable to me but was later told no as I had a trade-in of an iPhone when I bought the watch. The trade-in was already a discount and no further discounts can be given. That’s a lame reason. A trade-in is an exchange of a product for value and not a “discount“! Therefore, I was not given the 10% which was not even a full price match. Leaves me with a bad feeling.",1,0.117,0.788,0.095,-0.68
23,"Beats Earphones/Earbuds Won't PairA few years ago ﻿I bought an iMac Computer from 🍎 and received ""free"" Beats earphones/earbuds. I didn't unpack them right away thinking they wouldn't fit because that shape doesn't fit my ears and was planning to regift them. When they were finally taken out of the sealed box at Christmas, we found out that they will charge but are NOT discoverable in Bluetooth. I did a search and found dozens of other consumers had the same problem with those models (some said theirs stopped working within 6 months to a year). I called 🍏 and was told the item is extinct (came out late 2016...years before I got them) and therefore cannot be repaired or replaced. You would think since 🍎 bought that company they would have a better, reliable product even if it was free or is that why it was free? So the next time you are offered a ""free"" with purchase item from them, open the box right away to see if you too received a dud.",1,0.065,0.863,0.072,0.6416
24,"iPad Air - Mouse Icon to be an Arrow please NOT CircleiPad Air - 5th Generation - what an earth is a round mouse icon created for - especially when the arrow ones like on the Mac's work perfectly, are accurate and easy. Apple tried to find out if this could change in-store today but sadly it couldn't - very odd.Suggestion: Someone at apple amend the mouse icon to what works at next system upgrade PLEASE! OR give customer's the choice.Apple seems to becoming more clunk click like Microsoft. Apple used to have such a good UX.",2,0.035,0.767,0.198,0.9348
25,"Apple company proved that it failed to…Apple company proved that it failed to manufacture a battery that lasts for one day without the need to charge more than once a day. Previously, I had an iPhone xs max, it does not need to be charged until a day and a half now. I charge twice the Iphone 15 pro max.",2,0.141,0.859,0.0,-0.8126
26,"Nobody cares about ICloud emailThe amount of time I’ve spent on the phone with customer service over the past several years is PATHETIC. It’s always been some sort of BS thing to. For some reason the iCloud password didn’t work, and it wouldn’t let me reset it, even after a verification code was sent to a different phone number. Just annoying and invasive. I don’t think I will support this company any more. I understand privacy and anti identity theft but all this crap is ridiculous. People need their phones to work and nobody wants to talk to a customer service agent for an hour just to get these types of things resolved. Too many smart people being stupid.",1,0.138,0.781,0.081,-0.8579
27,"Apple has never tried to provide…Apple has never tried to provide customer service, but now it is at a new low. The one star overrates this company customer support. The website does not provide clear direction, it takes forever to get a person on the phone, each person is unable to answer any questions, constantly transferred, store employees don't care and never help, products don't work (especially phones always need repair). I have been trying for 1 1/2 years to change my email on my phone and no one can fix. Did not want another Apple phone when mine froze 6 months ago but Verizon said I had to get same product.",1,0.134,0.836,0.03,-0.8844
28,"They still rule the tech worldThese guys deservedly have this rating, actually. Especially knowing how many problems enthusiasts disclose about the last iPhone 15 line. Still, I presume the company anyway outruns the market nowadays. I do know that the performance of their cameras isn't eclipsed yet by the competitors. This is something we can praise them for. Yep, new line of FineWoven cases isn't as much quality as it's stated.",4,0.036,0.856,0.108,0.6705
29,If you have a Macbook that needs repairing…If you have a Macbook that is damaged. Don’t even think about going to an apple store to repair it. It is going to cost you around the same to repair then to buy a new one. I would not recommend to anyone because no matter how small the damage is it will still cost more than a new macbook to repair. Its also very time consuming waiting for a repair to be done as it usually takes 2 weeks or more which is appalling.,1,0.141,0.847,0.012,-0.9016
30,TerribleTerrible. They don’t know what they’re doing and don’t know how to solve a basic issue without calling their supervisor. Not to mention it takes ages to connect via chat.,1,0.0,0.94,0.06,0.2023
31,"Apple has gone to great lengths to…Apple has gone to great lengths to prevent ordinary people from repairing their devices. One such example is you cannot simply replace a component with like for like, as they have been pre-programmed to require pairing, so only ""authorised"" repairs can happen which can only be done by Apple authorised repair centres, charging Apple repair fees. Apple's anti-repair policy is enough reason for me to avoid this company's products altogether.",1,0.026,0.807,0.167,0.9022
32,I had a phone call from a support…I had a phone call from a support member about 3 months free subscription when I bought an iPad. They told me that is for new customers only. He was rude and couldn’t give a damn. Loyal customers should be looked after not treated like scum! Apple are a disgrace they way they treat people!,1,0.161,0.658,0.181,0.3343
33,"Stay Clear of Mac ProductsI have purchased so many Apple products over the last 17 years ranging from phones, watches, iPads, AirPods & finally a MacBook Air.This brings me onto the subject matter, that’s it never again, purchased a MacBook Air in Jan 2016 - at the time a high spec model including i7 processor & 256 SSD £1300-1400 if I remember rightly. A hardly used machine as most of my computing needs done at work or on my IPad Pro, it is to say the least immaculate!Turned it on a few days ago to check for any updates & a smell came from the machine, clearly something burnt out on the boards inside as it no longer starts up.Called Apple support - absolutely no sympathy!! I understand things can’t last forever, but I was lead to believe that Macs were good for 10 years plus & worth their value over a cheap £300/400 from the likes of PC World/Currys.Absolute truth, I will never ever buy a Mac product again for myself, members of my family nor would I recommend them. Your better spending less money on a windows based machine and renewing it every 3/4 years.I’m totally disillusioned with Apple they have had so much money from me over the years & not prepared to assist in any way.Stay clear of Apple products especially Macs of any kind, far too expensive & longevity clearly not as I was lead to believe by the sales pitch/teams.",1,0.047,0.794,0.158,0.9809
34,"ThievesThieves! Fake! Corrupt! They charge your money easily, but you take out insurance with Apple under the name of theft or loss and they do nothing! They hung up the phone on me! Don't take out insurance with Apple. Your phone is stolen and they robbed you too.",1,0.186,0.783,0.03,-0.8679
35,"Simplicity and StyleThe Apple website is a delight to go through. The whole website is very simple to go through, and easy to navigate around, compared to that of the Samsung website (which is hell lot hard to use).What I would like Apple to do is to also launch their new products in other countries to, like the new Apple Vision Pro, which is only available in the US.But overall, Apple as a company and its product lines are all good, and Apple as a website is also good.",5,0.059,0.748,0.193,0.9118
36,"No feedbacks from the specialist and No reply from customer service after a free online personal sessionI have purchased an iPhone 15 Pro Max recently and I was given a free online personal session. I chose to explore the different camera features, new and old. The lady specialist stayed with me for 30 minutes on the phone and  she went through different features which I didn’t know. She was very knowledgeable and at the end, she said she would send me an email to give me a list of the different camera features and also I would be given an email address and phone number so I could contact them for more free advice whenever. However, I waited for 2 days and no emails. I emailed the customer service to raise the issue and sadly, I had no reply at all!",1,0.083,0.839,0.078,0.2244
37,"I recently bought an iPhone 15 Pro with…I recently bought an iPhone 15 Pro with a trade-in of iPhone 12 Pro which was worth £300. I got a credit of £15 back to my credit card, and £285 to my Apple account which I will have no use of! When I called the Customer Service, I was told I was credited £285 in my Apple account because I have paid with a £285 balance for the new iPhone. Well, I paid £714 on top of this balance! Why am I receiving the lowest amount as a balance instead of a cashback to my credit card? This makes no sense. I have no use of this money that stays in my Apple account because I'm not an Apple enthusiast and I change my iPhone every 3 years and my Macbook every 5 years only. Terrible system and terrible Customer Service. I will never ever shop from Apple again. I request my money back, because if I know they would do this, I would sell my old iPhone myself and would keep the £300 cash!",1,0.101,0.81,0.089,-0.5083
38,Can’t change my password on the device I’m usingI’m so tired of when I forget my password send me back to my phone back to my iPad back to my phone again and back to my iPad and then sent me to another iPad then sent me to the email they make me switch back-and-forth and don’t get anywhere. Please help me to do this correctly.,1,0.079,0.851,0.07,-0.1633
39,"Apple customer service is outstandingApple customer service and support is second to none. The ability to get an appointment at one of their stores to check out a product, get it tested and quickly fixed if needed is seamless. It's easy to reach their CS by phone and they have some amazing tools at their disposal to solve your issues. There is not a company I know of that provides the level of support that Apple does.",5,0.023,0.798,0.179,0.9009
40,"F AppleGarbage products, garbage Apple support teams. This 14 Pro Max is probably the worst newer phone I’ve ever had & the fact that Apple support won’t refund you a dime for something you didn’t purchase in app is bs at best. So someone else can make a purchase & I take the hit, thats cool. How people continue to fall for Apples crap is beyond me.The simple fact the support team does not help in any way is the icing on the cake. Whether its an accidental purchase, purchase with the wrong payment method etc, they will just take your hard earned money & laugh.",1,0.123,0.725,0.152,0.6643
41,Why do you use fed ex for your…Why do you use fed ex for your shipping? It’s a horrible company that doesn’t deliver on time or when they say they will so even when one of your customers pays extra to receive  your shipments the extra money spent is for nothing. You should do your homework Apple - it affects your customer service by using this horrible company.,1,0.099,0.901,0.0,-0.7906
42,"Apple Music Subscription Rip OffI had apple music for a little less than a year and I was comprising my play list for months paying $10.99 a month. I was very happy, until all my music disappeared. So I called Apple - they said sorry -- nothing we can do. I said can I have a credit for what I paid for all those months? They said - SORRY NO! So I paid approximately $110.00 and spent hours putting together my playlists for nothing.  And they did nothing. Needless to say, I cancelled my subscription.",2,0.113,0.79,0.097,0.2776
43,Very bad experinece with serviceVery bad experinece with service. I ordered one cable since more than 10 days but still i can not get it as i already paid for it. I dont know whose mistake is this either by apple or by fedex courier??? Really disappoint with this time. I need it on emergency basis but unfortunately i could not.,1,0.235,0.727,0.038,-0.9227
44,"Do you know whatDo you know what? I love the way my iphone works, the look, everything but this company takes from us and what do we get back?!This is about my ipod though...I was bought an ipod back in the 2000s, all my music is on it, on my old laptop. I simply wanted to open the library on my new unbroken laptop. To save me transferring shed loads of cds onto it. The company would not accept that they had the wrong phone number on file, so I cannot access my 270 albums. An hour and a half of my time speaking to these, including a manager, who also fobbed me off with NO RESOLUTION.The service was ok as in polite, quick but I could not care less how polite someone is, if they cannot give me access to my account, they cannot do their job. Even with I.D they wouldn't grant it. So now, they have access to my music, as well as everyone elses.",1,0.096,0.829,0.075,-0.6989
45,"the product had problems because my bad luckyears starting with the second generation of iPhone. I’m wondering Why is the quality of Apple products getting worse and worse.. I bought a MacBook Pro around Christmas 2021 and it only lasted two years! last month it suddenly the Shift key did’t work and their shop assistant told me I needed to pay around £600 to replace the whole keyboard. My last computer lasted 5 years until I replaced it. I can’t believe only 2 years it just stop working with no reason. After speaking with Apple, they were unable to resolve the and l I was told by one of the staff: “you are bad luck”. I trusted your company and your products and now you are telling me that the product had problems because my bad luck. This was very disappointing to me.At the same time, my other 2 Apple headphones that were purchased less than 2 years also had a problem with not charging.It's starting to make me hesitant to continue to support a business like this.",1,0.171,0.757,0.072,-0.9544
46,"Apple has lost its integrity as a companyNot that they care because they are run by elitists who only care about their bottom line, but I used to be a loyal Apple customer who bought nothing but Apple products and would not have dreamed of purchasing other brands.  That was when they made products that lasted for years, never became “obsolete” and were easy, fun and customizable.  I’m a right brained person so Apple was a good fit.  Not so much any more.  Once I was locked out of my own account a decade ago with 2 factor authentication that I absolutely did not authorize (but Apple insists I did and refuses to unlock) I have been repeatedly locked out of every device from a PowerBook Pro I paid almost $3,000 for and have hardly been able to use, to iPads to iPhones and now an older Apple TV box that I still wanted to use but am told too bad it’s now considered “obsolete” and Apple won’t update the software so I can’t login and watch Apple TV that I pay for.  I can watch Amazon Prime still, YouTube, Netflix, all the other streaming platforms  still work on it but not Apple, they want me to chuck the box and buy a new one. That was in the third phone all too because the first call dropped and the rep didn’t call me back, the 2nd rep who said she was a senior advisor and didn’t have a supervisor spent 10 minutes arguing with me over whether I had a “nickname” or not that I go by (no, I do not, I very clearly gave her my Apple ID and I spelled it for her several times as well) which really upset me bc I was already upset over the unnecessary 2 factor “protection” that I don’t need!  All this protection to protect me from myself?  All 3 reps were rude, annoyed with me and could have cared less.  I admit I wasn’t the easiest customer to deal with but none of them even tried to relate with any empathy statements, tried to de-escalate, or give suggestions for self help options.  They did not give a rats a$$ if I was lost as a customer.  And you could see in my account that I had bought plenty of expensive Apple devices over the years….multiple laptops, multiple iPads, phones, AirPods, AppleTV.They also don’t include power cords anymore with your devices, that you have to purchase separately especially if you want one that is long enough that you aren’t going to be tethered to the outlet with no room to move.  Apple has become cheap and greedy despite the explosion of their cell phones and iPads.  They used to be an awesome company who had great computers with the Macs and PowerBooks.  I remember working at T-Mobile just prior to the iPhone launch and I was so excited.  Then hugely disappointed because it has never IMO beat a Samsung Galaxy or Notes Camera or Screen and is just a smaller version of an iPad.  You lost me today as a customer, Apple.  I won’t buy again.  I will pay off this new iPad and my daughter’s iPhone but that will be the last Apple product from me.  It matters to me the integrity of the company I buy from and I think Apple has entirely lost its way.",1,0.089,0.804,0.107,0.9284
47,"I hate appleHonestly, I hate apple. All of my products are by apple and have been for over a decade. I cannot switch to Google because it would mean losing my entire cloud. Why would I want to switch? Because Apple products do not last over a year. It is really sad. Every single apple electronic will begin glitching and acting up after 1 year of use. After 3-4 years you are forced to buy a newer version that is completely un affordable so you keep getting refurbished products that are new versions from a couple of years ago that were not build to last which is completely destroying our environment btw, building electronics to have a limited life span should be completely illegal. Your greed will catch up to you Apple.",1,0.204,0.787,0.009,-0.9813
48,"Overwhelmingly the worst support I have…Overwhelmingly the worst support I have ever received in my entire 24 years on Earth. Not one person or even bot to talk to and everything takes over 24 hours to get done. I will never buy another iPhone after this experience with Apple and the Apple ID services. Whoever is running this clown show is the worst system manager in the world. I suggest getting anything but an Apple product because if it ever comes down to it the customer service you receive will not only be terrible but will infuriate anyone who has to deal with them. If I can stop even one dealing with the worst customer service, then I will have been successful. Be better Apple.",1,0.15,0.739,0.111,-0.6777
49,"Appalling customer serviceAppalling customer service, product not delivered excuse being not able to find courier.  Will not refund money until item returned to warehouse, despite item never being out of their control.  Agents totally useless, lie all the time contradicting themselves.  One also admitted their customer systems are unreliable.  Quite an admission for a tech company.",1,0.151,0.826,0.023,-0.7727
50,MY CHARGER IS NOT CHARGING MY IPADMY CHARGER IS NOT CHARGING MY IPAD. Because it got used to Rachels. Thanks alot Rachel thanks alot. I hope you're happy now,1,0.0,0.659,0.341,0.9081
51,"Apple TV + subscriptionFirstly just getting to Chat is difficult, navigating Apple IT is nightmarish. I was given 3 mths free subscription of Apple TV+with auto subscription collection post 3 mths when I made a purchase at Currys.co.uk. I was never able to successfully log in to Apple TV, trying to cancel so subscriptions wouldn't be collected has taken a full morning, cut off during Chat...just not good enough and puts me off ever considering the purchase of any Apple products...I believe the issue is that when I made my purchase at Currys.co.uk I used a CC that expired a few days post purchase. The replacement card was same number but new security code. I was required to use the CC details to set up Apple TV + account but because security code was different it caused a glitch in setting up account and there was no other options available to bypass this. I never got to use my free subscription. It demonstrates how poor Apple IT is, you're reputed to be the world IT leader, not according to my experience.",1,0.084,0.84,0.077,0.1737
52,"Incredibly difficult to do anything…Incredibly difficult to do anything with Apple if anything goes wrong in their design process. You'll be stuck hitting your head against the wall with no options. Can never support such a wrong-headed business. Just now I tried to change my Apple ID password. Well, they required a five-step verification process to do that and in one of those steps a button didn't function so it was impossible for me to access my account. Infuriating.",1,0.212,0.764,0.024,-0.9376
53,"I HATE AppleI HATE Apple. What they have put me through is UNACCEPTABLE. Me and my friend our messages were broken. Whenever I would send a text to her and she would try to send one back. It would force her to send it as a green message, even though her internet was just fine. We both were trying to fix the problem in settings but found no luck. I had to update my phone which took up 7.44 GB. I also had to offload SIX of my apps. That is honestly UNBELIEVABLE. I will not be purchasing from Apple in the future and I recommend no one else does too.",1,0.138,0.718,0.144,0.4118
54,"What sort of a company enables in app…What sort of a company enables in app purchases ofter asking if the product is for a child? Then hides the remove payment method in the most obscure place, I've always avoided apple, caved in and bought my daughter an iPad, can certainly say it's the last apple product I will ever buy, just an all round terrible experience and sly, devious company",1,0.101,0.866,0.034,-0.5859
55,"Absolutely ret***d customer serviceExcuse the french but I just received the Shitest f**ing SERVICE EVER, I left a laptop to get repaired yesterday, was fixed today and got a call saying to pick it up and I come to the store and they make me wait over half an hour to THEN TELL ME THERE’S A FACTORY RESET WHICH HAS BEEN TAKING 3+ HOURS THAT IS STILL IN PROCESS",1,0.0,1.0,0.0,0.0
56,Apple took some money off my bank card…Apple took some money off my bank card Nov11 two charges it’s almost 2024 and they said the person who used my card fraudulently has used other customer cards knowing this why is it still happening now they saying they may not get my money back I think they should have charges brought on them you know this person is using peoples cards and doing nothing about it I want my money and then he hung up in my face ! Need to speak with someone or I’m filing charges,1,0.08,0.92,0.0,-0.7017
57,"I bought 2 iPhones on Black Friday and…I bought 2 iPhones on Black Friday and I never received them. I called them to ask them about my order and they submitted a replace order which I received two days later, and I decided to return one of the iPhones and I haven’t been credited back to my credit card. They stole my money and don’t wanna pay me back, my money..",1,0.021,0.901,0.078,0.5719
58,Three months old AirPods and the case…Three months old AirPods and the case died… what a tag price for something so rubbish quality and out of warranty of course. Talked to a really rude customer service person. Bye bye Apple. Won’t purchase another items of yours,1,0.071,0.929,0.0,-0.5095
59,IPHONE 15Just purchased the new iPhone was with android for years finally made the move back I’m so happy I did as this product is brilliant,5,0.0,0.729,0.271,0.8605
60,Resetting a password with Apple support…Resetting a password with Apple support in 2024 takes 14 days.When you speak to customer support they close the issue without even addressing it.,1,0.0,0.822,0.178,0.6597
61,"Terrible quality of product and assistance.Quality of products and assistance is terrible. I bought a macbook pro in 2021 with the new system, which was supposed to be great. But, as always first version of new machines with Apple are just test-out. They make you pay to try their products at your own risk. I paid a premium price for this mac, yet, yesterday it stopped to accept my password (althought it works on my other macbook). Schedulled a call today, have been waiting for 4 hours, the technician put my macbook on recover mode and then ended the call and closed the case. Now, I am stuck with the macbook that doesnot work. it is impossible to reach the technical department. I risk loosing all my materials. She did not even ask if I had a backup of my materials. As always with Apple, they are too pretentious to recognize any fault or mistake. You pay to deal with their incompetence. Case 102189314174",1,0.163,0.797,0.04,-0.961
62,"DO NOT BY APPLE!EXTREMELY POOR EVERYTHING !! ( no joke )OVER A FEW YEARS COMPLAINING EVEN PAYED £719 FOR A BRAND NEW IPHONE12 (within a year it has became DISCONTINUED!!!!!)Which is why i was deliberately mis-lead mis-sold my iPhone12 128GB as i quite clearly asked for a brand new iPhone and biggest screen size ( mine is 6”1 .. the pro max is 6”7 which i just found out from my nurse) !!! … anything to get rid of old discontinued stock clearly !!! The 12 is banned in france due to radioactive issues !! Also severe issues with connection wifi / 4G / 5G / LTE …. When in apps eg:YoutubeTiktok Instagram Facebook Twitter-XDAY AND NIGHT OF ERROR MESSAGES”network unstable” … “buffering” etcLagging keyboard, safari web browsing is slow compared to google chrome firefox etc",1,0.107,0.812,0.081,-0.5649
63,Mr ReesI had a issue with my iPad Pro 11 inch with the screen.I made a appointment with Apple Store in Glasgow and attended it on the 3/1/2024.I was approached by one of the assistants and explained my case to her.my issues was my iPad screen developed two cracks on the screen and the apple assistant said it was scratches on my screen and not cracks.I pointed out to the apple assistant that the two cracks on my iPad were straight lines but she was adamant that it was scratches.However she got her manager and she said they have guid lines to follow and in her opinion it was scratches and it was not covered by my 1 year warranty.I then asked the assistant how much dose it cost for a replacement screen and I was told Apple do not fix your screens they say to fix the screen it can cause damage to the internal components so they don’t repair or fix your iPad they said you would have to fork out £749 and give them your damaged unit for a new one.Apple if you don’t fix your iPads why do you cell them to your customers.Please think before you buy a new apple iPad because if you have a issue with your screen Apple do not repair them you have to buy a new ipad.,1,0.036,0.957,0.006,-0.8271
64,"DO NOT USE APPLE CARD they are crooks /charge interest, even you paid every statement in full.I always paid my statements balance in full and I got charged with interest.  I paid my October Statement balance of 3.98 in full 12/5.  It was a few dated late and it is because their system charged this payment to a very old and already closed account. I noticed it and made a payment immediately then chat with an agent. The agent agreed that I should not be charged an interest since the payment would be paid in time. If their system would charge it to the correct account. I paid my November statement balance of 1309.1 in full 12/30/23, it is one day prior to the due date of 12/31/23.  I also paid 12/31/23 my December statement balance of 3.98 12/31/23.  However, another interest of 22.10 is now charged to my account Even I have paid all statements balance in full. THEY ARE CROOKS. DO NOT USE APPLE CARD.",1,0.043,0.874,0.083,0.836
65,"I downloaded an app it didn’t work.I downloaded an app it didn’t work with my setup I cancelled app, they charged me for it anyway. They have been hitting my account over and over again I called they said I would have to pay for it then put in for refund they couldn’t do anything. I was a bookkeeper that is a crock, I’m looking at fighting them for the refund if I pay.",1,0.13,0.87,0.0,-0.7269
66,tried 4x with apple support to change…tried 4x with apple support to change my password as if had one when I bought the phone a year ago can't remember it...UNBELIEVABLE BAD ABSURD CUSTOMER SERVICE...no solution and no help DONT BUY AN APPLE PHONE!!,1,0.043,0.679,0.279,0.9037
67,"The most Amazing customer service I’ve…The most Amazing customer service I’ve ever received. Jawad was so professional, compassionate & understanding. I wish the banks & other service industries offered Jawad’s level of proficiency.  Outstanding job. I just cannot give enough positive feedback for the service I just received. Thank you Jawad. Thank you Apple.ca for caring enough about your product that you hire & train professional support staff like Jawad (Toronto call centre) for your customers.",5,0.031,0.63,0.339,0.9815
